,x,y,x_km,y_km,Station_Name,City
0,-76.14444,45.138635,-8476.47520524,5010.388485,Scotiabank,Carleton Place
2,-75.732949,45.385821,-8430.667615629,5037.826131,Best Western Plus - City Centre,Ottawa
3,-75.722363,45.320851,-8429.489171523,5030.614461,Diffraction Limited,Ottawa
4,-75.820758,45.326468,-8440.442601318,5031.237948,Best Western Plus - Ottawa Kanata,Ottawa
5,-74.756055,45.030239,-8321.918798655,4998.356529000001,Best Western Plus - Parkway Inn,Cornwall
6,-75.653418,45.02272,-8421.814145178,4997.52192,Kemptville Bowling Lanes,Kemptville
7,-75.290267,45.270952,-8381.387812707,5025.075672,La Boulangerie du Village Bakery,Embrun
8,-75.0793477460327,45.3059271479012,-8357.908070436106,5028.9579134170335,Microtel Inn & Suites,Casselman
9,-75.912767,45.34076,-8450.685135207,5032.8243600000005,KRP Properties,Kanata
10,-75.9172627,45.347675,-8451.1856010267,5033.591925000001,BROOKSTREET CHG,Ottawa
14,-75.641083,45.354068,-8420.441000642999,5034.3015479999995,Bank Street Mitsubishi,Gloucester
15,-75.7452455,45.3816363,-8432.0364743055,5037.3616293,QUADREAL,Ottawa
16,-75.9176067,45.3500251,-8451.2238954507,5033.8527861,KRP PROPERTIES,Ottawa
23,-75.712848,45.342883,-8428.429952208,5033.060013,Centurion Conference & Event Center - Tesla Destination,Ottawa
24,-75.639792,45.401793,-8420.297285232,5039.599023,Ecole Secondaire Catholique Franco-Cite,Ottawa
25,-75.917593,45.347932,-8451.222370353,5033.620452,Brookstreet Hotel - Tesla Destination,Ottawa
26,-75.689262,45.403244,-8425.804335102,5039.7600840000005,Glebe Parking Garage,Ottawa
27,-74.7481,45.0237,-8321.0332401,4997.6307,Ramada Cornwall - Tesla Supercharger,Cornwall
28,-75.709938,45.340066,-8428.106008097999,5032.747326,Hunt Club Nissan,Ottawa
30,-75.0818,45.3047,-8358.1810578,5028.8216999999995,Metro Casselman - Tesla Supercharger,Casselman
38,-75.081801,45.307333,-8358.181169121,5029.113963,Laplante Chevrolet Buick GMC,Casselman
39,-75.71057,45.250862,-8428.17636297,5022.845682,Surgenor Chevrolet Buick GMC,Ottawa
40,-75.93008,45.293796,-8452.612435680001,5027.611356,Myers Kanata Chevy Buick GMC,Stittsville
41,-75.733316,45.297838,-8430.708470436,5028.060018,Ottawa Park and Ride,Barrhaven
42,-75.281295,45.275705,-8380.389040695,5025.603255,Embrun Arena,Embrun
43,-75.666082,45.373269,-8423.223914322,5036.4328590000005,Jim Tubman Chevrolet,Ottawa
45,-75.730328,45.364573,-8430.375843288,5035.467603,Myers Cadillac Chevrolet Buick GMC,Ottawa
46,-75.840345,45.319892,-8442.623045745,5030.508012,Myers Nissan,Ottawa
47,-75.736944,45.298972,-8431.112343023999,5028.1858919999995,VIA Rail - Fallowfield,Barrhaven
48,-75.843414,45.345045,-8442.964689894,5033.299995,Reef Parking,Ottawa
49,-75.59403,45.376366,-8415.20301363,5036.776626,HUNT CLUB,Ottawa
50,-74.797032,45.0406749,-8326.480399272,4999.5149139,Hydro One Inc,Cornwall
53,-75.32377,45.27593,-8385.11740017,5025.62823,City of Ottawa,Orleans
54,-75.72663,45.33651,-8429.96417823,5032.35261,Ontario Charging Network LP,Nepean
56,-74.7464931779099,45.0222160412767,-8320.854367058108,4997.465980581714,St-Hubert - Cornwall,Cornwall
57,-75.689862,45.316117,-8425.871127702001,5030.088987,ECCC - 335 River Road,Ottawa
58,-75.807396,45.347559,-8438.955130115999,5033.579049,Bayshore Shopping Centre,Nepean
59,-75.73362,45.36349,-8430.74231202,5035.34739,First Capital - BMO Ottawa,Ottawa
60,-74.746758,45.022218,-8320.883847318,4997.466198,DCFC - St-Hubert - Cornwall,Cornwall
61,-75.617651,45.023651,-8417.832526970999,4997.625261,Solacity - Kemptville,Kemptville
62,-75.7335,45.297979,-8430.7289535,5028.075669,DCFC - Ottawa - Fallowfield Park and Ride,Ottawa
63,-75.083287,45.306924,-8358.346592127,5029.068564,DCFC - Casselman,Casselman
64,-75.90965,45.308442,-8450.33814765,5029.237062,DCFC - Ottawa - Terry Fox Parkâ€™N Ride,Kanata
65,-75.761859,45.343733,-8433.885905739,5033.154363,DCFC - Ottawa - Ben Franklin Place,Nepean
66,-75.292992,45.270476,-8381.691162432,5025.022836,Desjardins - Nouvel-Horizon,Embrun
67,-74.734931,45.02842,-8319.567253851,4998.154619999999,Desjardins - Cornwall Inc.,Cornwall
68,-75.9149754,45.3419336,-8450.9309765034,5032.9546296,CB-450 MARCH,Ottawa
70,-75.7092,45.338703,-8428.023853199998,5032.596033000001,PORT 1,Ottawa
71,-75.7053852,45.4064933,-8427.5991858492,5040.1207563,LIV 207 BELL 1.,Ottawa
72,-75.8952283,45.3219899,-8448.7327095843,5030.7408789,BEAVERBROOKLIBR,Ottawa
73,-75.759737,45.3471257,-8433.649682577,5033.5309527,PARKING SERVICE,Ottawa
74,-75.865601,45.282035,-8445.434568921,5026.305885,METRO - Kanata Store,Kanata
75,-76.27,44.91,-8490.452669999999,4985.009999999999,Perth Mews Shopping Centre - Tesla Supercharger,Perth
76,-75.619059,45.404344,-8417.989266939,5039.882184,Canada Science and Technology Museum,Ottawa
77,-75.8045536,45.3532828,-8438.6387113056,5034.2143908,Cineplex Cinemas,Ottawa
78,-75.6340751,45.0284392,-8419.6608742071,4998.1567512,Canadian Tire Corporation,Kemptville
79,-76.2484958,44.9000731,-8488.0588009518,4983.9081141,COLBOURNE ST #1,Perth
80,-75.6414673,45.3546205,-8420.483781303301,5034.3628755,MISTU 1,Ottawa
81,-75.9207949,45.3095012,-8451.578809062901,5029.3546332,DONNELLY MITSU,Ottawa
83,-75.931998,45.293911,-8452.825949357999,5027.624121,MYERSVW,Ottawa
